position,temperature
1779,53.277640
1780,53.252699
1781,53.227760
1782,53.202823
1783,53.177888
1784,53.152955
1785,53.128024
1786,53.103095
1787,53.078168
1788,53.053242
1789,53.028319
1790,53.003397
1791,52.978478
1792,52.953560
1793,52.928645
1794,52.903731
1795,52.878819
1796,52.853909
1797,52.829001
1798,52.804095
1799,52.779191
1800,52.754289
1801,52.729389
1802,52.704491
1803,52.679595
1804,52.654701
1805,52.629808
1806,52.604918
1807,52.580029
1808,52.555143
1809,52.530258
1810,52.505376
1811,52.480495
1812,52.455616
1813,52.430739
1814,52.405865
1815,52.380992
1816,52.356121
1817,52.331252
1818,52.306385
1819,52.281519
1820,52.256656
1821,52.231795
1822,52.206936
1823,52.182078
1824,52.157223
1825,52.132370
1826,52.107518
1827,52.082669
1828,52.057821
1829,52.032975
1830,52.008132
1831,51.983290
1832,51.958450
1833,51.933612
1834,51.908776
1835,51.883942
1836,51.859111
1837,51.834280
1838,51.809452
1839,51.784626
1840,51.759802
1841,51.734980
1842,51.710160
1843,51.685341
1844,51.660525
1845,51.635710
1846,51.610898
1847,51.586087
1848,51.561279
1849,51.536472
1850,51.511668
1851,51.486865
1852,51.462064
1853,51.437265
1854,51.412469
1855,51.387674
1856,51.362881
1857,51.338090
1858,51.313301
1859,51.288514
1860,51.263729
1861,51.238946
1862,51.214164
1863,51.189385
1864,51.164608
1865,51.139833
1866,51.115059
1867,51.090288
1868,51.065518
1869,51.040751
1870,51.015985
